,Club,Title(s),Runners-up,Seasons won,Seasons runner-up
0,Real Madrid,13,3,"1956, 1957, 1958, 1959, 1960, 1966, 1998, 2000, 2002, 2014, 2016, 2017, 2018","1962, 1964, 1981"
1,Milan,7,4,"1963, 1969, 1989, 1990, 1994, 2003, 2007","1958, 1993, 1995, 2005"
2,Bayern Munich,6,5,"1974, 1975, 1976, 2001, 2013, 2020","1982, 1987, 1999, 2010, 2012"
3,Liverpool,6,3,"1977, 1978, 1981, 1984, 2005, 2019","1985, 2007, 2018"
4,Barcelona,5,3,"1992, 2006, 2009, 2011, 2015","1961, 1986, 1994"
5,Ajax,4,2,"1971, 1972, 1973, 1995","1969, 1996"
6,Manchester United,3,2,"1968, 1999, 2008","2009, 2011"
7,Inter Milan,3,2,"1964, 1965, 2010","1967, 1972"
8,Juventus,2,7,"1985, 1996","1973, 1983, 1997, 1998, 2003, 2015, 2017"
9,Benfica,2,5,"1961, 1962","1963, 1965, 1968, 1988, 1990"
10,Chelsea,2,1,"2012, 2021",2008
11,Nottingham Forest,2,0,"1979, 1980",—
12,Porto,2,0,"1987, 2004",—
13,Celtic,1,1,1967,1970
14,Hamburger SV,1,1,1983,1980
15,Steaua București,1,1,1986,1989
16,Marseille,1,1,1993,1991
17,Borussia Dortmund,1,1,1997,2013
18,Feyenoord,1,0,1970,—
19,Aston Villa,1,0,1982,—
20,PSV Eindhoven,1,0,1988,—
21,Red Star Belgrade,1,0,1991,—
